ID,都道府県コード,lat,lon,座標の出典,amenity,healthcare,name,official_name,short_name,name:ja-Hira,name:ja-Latn,name:en,opening_hours,healthcare:speciality,emergency,website,addr:full,addr:country,addr:province,addr:county,addr:city,addr:suburb,addr:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,beds,source,要確認,備考,未解釈の文字列,fixme の内容
3941730000030,39,33.559206,133.691073,原データ,,midwife,ゆいま~る,ゆいま～る,ゆいま～る,ゆいまーる,,,,,,,高知県香南市野市町西野１７３３,JP,高知県,,香南市,,,野市町西野,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,1733,
3944390000001,39,33.501528,133.556662,原データ,,midwife,アニタ助産院,アニタ助産院,アニタ助産院,あにたじょさんいん,,,,,,http://wwwc.pikara.ne.jp/anita/,高知県高知市長浜３番地,JP,高知県,,高知市,,,長浜,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,,
3944390000003,39,33.552717,133.545303,原データ,,midwife,貞弘助産所,貞弘助産所,貞弘助産所,さだひろじょさんしょ,Sadahiro Josanjo,,,,,,高知県高知市桟橋通１丁目１番１０号,JP,高知県,,高知市,,,桟橋通一丁目,1,10,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,,
3944390000010,39,33.539791,133.49333,原データ,,midwife,よつば助産院,ｍａｍａサポート　よつば助産院,よつば助産院,,,,"Mo,Tu,We,Th,Fr 09:00-18:00; PH off",,,http://yotsuba0404.web.fc2.com/,高知県高知市朝倉甲,JP,高知県,,高知市,,,朝倉甲,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3944390000011,39,32.986791,132.90039,原データ,,midwife,ひだまり助産院,ひだまり助産院,ひだまり助産院,ひだまりじょさんいん,Hidamarijosanin,,"Mo,Tu,We,Th,Fr,Sa,Su,PH 09:00-19:00",,,http://blogs.yahoo.co.jp/hidamari_josanin,高知県四万十市具同７０５８－２４,JP,高知県,,四万十市,,,具同,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3944390000012,39,33.591383,133.630002,原データ,,midwife,髙橋助産所,髙橋助産所,髙橋助産所,たかはしじょさんしょ,Takahashi Josansho,,"Mo,Tu,We,Th,Fr,Sa 08:30-17:00; PH off; Dec 24 off",,,,高知県南国市岡豊町八幡９６,JP,高知県,,南国市,,,岡豊町八幡,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3944390000015,39,33.470022,133.285028,原データ,,midwife,むらた助産院,むらた助産院,むらた母乳哺育相談所,むらたじょさんいん,,,"Mo,Tu,We,Fr,Sa 09:00-12:00; PH off; Dec 31-Jan 03 off",,,,高知県高岡郡佐川町中組９０８,JP,高知県,高岡郡,佐川町,,,中組,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,908,
3944390000017,39,33.485406,133.49577,原データ,,midwife,小梅助産院,小梅助産院,小梅助産院,こうめじょさんいん,,,"Mo,Tu,We,Th,Fr 09:00-17:00; PH off",,,https://sites.google.com/view/mwkoume,高知県高知市春野町南ケ丘５丁目２ー９,JP,高知県,,高知市,,,春野町南ケ丘五丁目,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,地番のため addr:block_number と addr:housenumber をタグ出力していない,,
3944390000027,39,33.532881,133.252058,原データ,,midwife,マタニティサポートわかつき,マタニティサポートわかつき,マタニティサポートわかつき,またにてぃさぽーとわかつき,,maternity support wakatsuki,"Mo,Tu,We,Th,Fr 09:30-12:30,13:30-17:30; PH off; Dec 28-Jan 03,May 03 off",,,,高知県高岡郡越知町越知甲１７２５番地１,JP,高知県,高岡郡,越知町,,,越知,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,甲1725-1,
3944390000029,39,33.550153,133.450295,原データ,,midwife,真弓助産院,真弓助産院,真弓助産院,まゆみじょさんいん,Mayumi Jyosanin,,"Mo,Tu,We,Th,Fr,Sa,Su,PH 08:00-20:00",,,https://mayumi-jyosanin.net/,高知県吾川郡いの町枝川８５８番地１７０,JP,高知県,吾川郡,いの町,,,枝川,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3944393114560,39,33.590099,133.579223,原データ,,midwife,このは助産院,このは助産院,このは助産院,このはじょさんいん,Konohajyosanin,,"Mo,Tu,We,Th,Fr 09:00-17:00; PH off",,,https://konoha.on.omisenomikata.jp/,高知県高知市一宮東町５丁目６番１９ー３号,JP,高知県,,高知市,,,一宮東町五丁目,6,19,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,3 号,番地の3要素目以降を確認: 3
