ID,都道府県コード,lat,lon,座標の出典,amenity,healthcare,name,official_name,short_name,name:ja-Hira,name:ja-Latn,name:en,opening_hours,healthcare:speciality,emergency,website,addr:full,addr:country,addr:province,addr:county,addr:city,addr:suburb,addr:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,beds,source,要確認,備考,未解釈の文字列,fixme の内容
3933390000000,39,33.559916,133.528072,原データ,dentist,dentist,高知県歯科医師会歯科保健センター,高知県歯科医師会歯科保健センター,高知県歯科医師会歯科保健センター,こうちけんしかいしかいしかほけんせんたー,Koutikennsikaisikai Sikahokennsennta-,,"Th 09:30-12:00,13:00-16:00; Sa 10:00-12:00,13:00-16:00; Su,PH 09:00-15:00; Th[5] off",dentistry,,,高知県高知市丸ノ内,JP,高知県,,高知市,,,,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,丸ノ内,
3933393100430,39,33.56142,133.539617,原データ,dentist,dentist,プランタン歯科,プランタン歯科,プランタン歯科,ぷらんたんしか,,,"Mo,Tu,We,Fr,Sa 09:00-12:30,14:00-18:00; PH off; Dec 29-Jan 03,Aug 09-Aug 11 off",dentistry,,,高知県高知市追手筋１－８－５プランタンビル１Ｆ,JP,高知県,,高知市,,,追手筋一丁目,8,5,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,opening_hours から5件を除いた（開始と終了が同一。実質NULL）: 月 歯科 00:00-00:00、火 歯科 00:00-00:00 他3件,プランタンビル1F,
3933393100560,39,33.491359,133.549657,原データ,dentist,dentist,平岡歯科医院,平岡歯科医院,平岡歯科医院,ひらおかしかいいん,Hiraoka Sikaiin,,"Mo,Tu,We,Fr 09:30-12:30,14:00-18:00; Sa 09:30-12:30,14:00-17:00; PH off; Dec 30-Jan 03,Dec 24 off",dentistry,,,高知県高知市長浜５７５５－２,JP,高知県,,高知市,,,長浜,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,opening_hours から5件を除いた（開始と終了が同一。実質NULL）: 月 歯科 00:00-00:00、火 歯科 00:00-00:00 他3件,,
3933393100690,39,33.557868,133.534509,原データ,dentist,dentist,本町モリモト歯科,本町モリモト歯科,本町モリモト歯科,ほんまちもりもとしか,Honmatimorimotosiika,,"Mo,Tu,We,Fr 09:00-13:00,14:30-18:30; Sa 09:00-13:00,14:30-17:00; PH off; Dec 29-Jan 03,Dec 24 off",dentistry,,,高知県高知市本町３－３－３０,JP,高知県,,高知市,,,本町三丁目,3,30,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3933393100980,39,33.557104,133.520049,原データ,dentist,dentist,みやもと歯科,みやもと歯科,みやもと歯科,みやもとしか,Miyamoto Sika,,"Mo,Tu,We,Fr 09:30-13:00,14:30-18:30; Th,Sa 09:30-12:30; PH off",dentistry,,,高知県高知市上町４丁目５番２２号,JP,高知県,,高知市,,,上町四丁目,5,22,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3933393101020,39,33.513034,133.573065,原データ,dentist,dentist,みさと歯科,みさと歯科,みさと歯科,みさとしか,Misatosika,,"Mo,Tu,Th,Fr,Sa 09:00-13:00,14:30-18:30; We 09:00-12:30; We[1] off; PH off; Dec 30-Jan 03 off",dentistry,,https://misatoshika-kochi.com/,高知県高知市仁井田１６２０－１２,JP,高知県,,高知市,,,仁井田,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3933393101150,39,33.500436,133.545799,原データ,dentist,dentist,三木歯科クリニック,三木歯科クリニック,三木歯科クリニック,みきしかくりにっく,,,"Mo,Tu,We,Fr,Sa 09:00-12:30,14:00-18:00; PH off; Jul 26-Jul 28,Jul 30-Aug 02 off",dentistry,,,高知県高知市長浜６３１－１,JP,高知県,,高知市,,,長浜,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3933393101280,39,33.555833,133.559023,原データ,dentist,dentist,にしむら歯科,にしむら歯科,にしむら歯科,にしむらしか,Nishimura Shika,,"Mo,Tu,We,Fr,Sa 09:00-13:00,14:00-18:00; Dec 30-Jan 03 off",dentistry;orthodontics;paediatric_dentistry,,http://www.nishimura-dental.com/,高知県高知市稲荷町,JP,高知県,,高知市,,,稲荷町,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3933393101310,39,33.518983,133.57342,原データ,dentist,dentist,山田デンタルオフィス,山田デンタルオフィス,山田デンタルオフィス,やまだでんたるおふぃす,,Yamada Dental Office,"Mo 09:30-18:00; Tu,We,Fr,Sa 09:00-18:00; PH off; Dec 29-Jan 04 off",dentistry;dental_oral_maxillo_facial_surgery;paediatric_dentistry,,,高知県高知市仁井田２２３６－１４,JP,高知県,,高知市,,,仁井田,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3933393101440,39,33.561318,133.538111,原データ,dentist,dentist,畠中歯科クリニック,畠中歯科クリニック,畠中歯科クリニック,はたけなか しか くりにっく,,Hatakenaka Dental clinic,"Mo,Tu,Th,Fr,Sa 09:30-13:00,14:30-19:00; PH off; Dec 30-Jan 03,Aug 09-Aug 11,Dec 24 off",dentistry,,,高知県高知市追手筋１丁目９番２２号　高知メディカルプラザ３Ｆ,JP,高知県,,高知市,,,追手筋一丁目,9,22,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,opening_hours から5件を除いた（開始と終了が同一。実質NULL）: 月 歯科 00:00-00:00、火 歯科 00:00-00:00 他3件,高知メディカルプラザ3F,
3933393101570,39,33.562956,133.53547,原データ,dentist,dentist,川崎歯科,川崎歯科,川崎歯科,かわさき しか,Kawasaki Shika,,"Mo,Tu,We,Fr,Sa 09:00-13:00,14:00-18:00; PH off; Dec 30-Jan 03 off",dentistry;orthodontics;dental_oral_maxillo_facial_surgery;paediatric_dentistry,,,高知県高知市永国寺町１－１８上杉ビル１階,JP,高知県,,高知市,,,永国寺町,1,18,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,opening_hours から35件を除いた（開始と終了が同一。実質NULL）: 月 歯科 00:00-00:00、火 歯科 00:00-00:00 他33件 / 営業曜日と時刻が食い違う曜日が1件。曜日フラグを採用（営業日と同一時刻のため一律入力とみなす）,上杉ビル1階,
