ID,都道府県コード,lat,lon,座標の出典,amenity,healthcare,name,official_name,short_name,name:ja-Hira,name:ja-Latn,name:en,opening_hours,healthcare:speciality,emergency,website,addr:full,addr:country,addr:province,addr:county,addr:city,addr:suburb,addr:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,beds,source,要確認,備考,未解釈の文字列,fixme の内容
3922393101010,39,33.557533,133.620162,原データ,doctors,doctor,潮見台診療所,潮見台診療所,潮見台診療所,しおみだいしんりょうしょ,,Shiomidai Clinic,"Mo,Tu,We,Th,Fr 09:00-12:00,16:00-18:00; Sa 09:00-12:00; PH off; Dec 29-Jan 03 off",internal;paediatrics,,http://www.kcb-net.ne.jp/norim,高知県高知市潮見台,JP,高知県,,高知市,,,,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,opening_hours から14件を除いた（開始と終了が同一。実質NULL）: 土 内科 00:00-00:00、月 内科 00:00-00:00 他12件,潮見台,
3922393101140,39,33.552813,133.551282,原データ,doctors,doctor,ふないキッズクリニック,ふないキッズクリニック,ふないキッズクリニック,ふないきっずくりにっく,,Funaikids clinic,"Mo,Tu,We,Fr 09:00-12:30,14:00-18:00; Th,Sa 09:00-12:30; PH off; Dec 30-Jan 03 off",paediatrics,,https://funaikids.com,高知県高知市北新田町,JP,高知県,,高知市,,,北新田町,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3922393101850,39,33.556779,133.507671,原データ,doctors,doctor,山下脳神経外科,山下脳神経外科,山下脳外科,やましたのうしんけいげか,,,"Tu,Th,Fr 09:00-12:30,14:00-18:00; We 09:00-12:30; Sa 09:00-13:00; PH off; Dec 29-Jan 03 off",internal;neurology;neurosurgery,,https://www.yamashitanoushinkeigeka.com/,高知県高知市南元町,JP,高知県,,高知市,,,南元町,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3922393102150,39,33.549425,133.54443,原データ,doctors,doctor,吉村神経内科リハビリクリニック,吉村神経内科リハビリクリニック,吉村神経内科リハビリクリニック,よしむらしんけいないかりはびりくりにっく,,Yoshimura Neurology and Rhehabiritation Clinic,"Mo,Tu,We,Th,Fr 08:30-12:00,13:30-17:30; PH off; Dec 30-Jan 03 off",internal;neurology;physiatry,,,高知県高知市百石町２丁目２番１号,JP,高知県,,高知市,,,百石町二丁目,2,1,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3922393102440,39,33.560254,133.534409,原データ,doctors,doctor,メディカルカウンセリングルームいとうクリニック,メディカルカウンセリングルームいとうクリニック,いとうクリニック,めでぃかるかうんせりんぐるーむいとうくりにっく,,Itoh Clinic,"Mo,Tu,Th,Fr 09:00-12:00,16:00-18:30; We 14:00-18:30; Sa 09:00-12:00; PH off; Dec 29-Jan 04,Aug 09-Aug 15 off",psychiatry,,http://www.itohclinic.jp,高知県高知市追手筋２丁目７番８号レジデンス大手前Ａ５０３,JP,高知県,,高知市,,,追手筋二丁目,7,8,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,レジデンス大手前A503,
3922393102600,39,33.558782,133.533823,原データ,doctors,doctor,谷田内科クリニック,谷田内科クリニック,谷田内科クリニック,たにだないかくりにっく,,TANIDA Internal Medical Clinic,"Mo,Tu,We,Fr 07:30-16:00; Th 07:30-12:00; PH off; Dec 29-Jan 03 off",internal;allergology,,http://www.tanidanaika.com/,高知県高知市本町４ー１ー５２　本町ＭＬプラザ１Ｆ,JP,高知県,,高知市,,,本町四丁目,1,52,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,本町MLプラザ1F,
3922393102730,39,33.567787,133.555379,原データ,doctors,doctor,たかさきクリニック胃腸科内科,たかさきクリニック胃腸科内科,たかさきクリニック,たかさきくりにっくいちょうかないか,,Takasaki Clinic,"Mo,Tu,We,Fr 09:00-18:30; Th 09:00-13:00; Sa 09:00-15:00; PH off",internal;gastroenterology;paediatrics,,http://endoscopy.jp/,高知県高知市杉井流２番３２号,JP,高知県,,高知市,,,杉井流,2,32,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3922393102990,39,33.568897,133.5434,原データ,doctors,doctor,くすのせ形成外科,くすのせ形成外科,くすのせ形成外科,くすのせけいせいげか,,Kusunose Skin Surgery Clinic,"Mo,Tu,Th,Fr,Sa 10:00-13:00,14:30-18:30; PH off; Dec 24 off",plastic_surgery;dermatology,,https://kusunose-clinic.jp/,高知県高知市新本町１丁目１４ー３　メディパーク高知駅２階,JP,高知県,,高知市,,,新本町一丁目,14,3,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,メディパーク高知駅2階,
3922393103160,39,33.569465386,133.554890251,ジオコーディング,doctors,doctor,レディスクリニックコスモス,レディスクリニックコスモス,レディスクリニックコスモス,れでぃすくりにっくこすもす,,Ladys clinic cosmos,"Mo,Tu,Th,Fr,Sa 09:00-18:00; We 09:00-13:00; PH off; Dec 29-Jan 03 off",gynaecology;fertility,,https://www.lccosmos.jp/,高知県高知市杉井流６－２７,JP,高知県,,高知市,,,杉井流,6,27,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,"元データの座標 33.561318, 133.538111 がジオコーダ座標から1,799m離れているため、ジオコーダ座標を採用",,
3922393103320,39,33.538007,133.544336,原データ,doctors,doctor,塩見クリニック,塩見クリニック,塩見クリニック,しおみくりにっく,,Siomi Clinic,"Mo,Tu,We,Th,Fr 09:00-12:30,15:00-18:30; Sa 09:00-12:30; PH off; Dec 30-Jan 03 off",internal;paediatrics,,http://www.siomiclinic.com/,高知県高知市六泉寺町,JP,高知県,,高知市,,,六泉寺町,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,opening_hours から10件を除いた（開始と終了が同一。実質NULL）: 月 内科 00:00-00:00、火 内科 00:00-00:00 他8件,,
