ID,都道府県コード,lat,lon,座標の出典,amenity,healthcare,name,official_name,short_name,name:ja-Hira,name:ja-Latn,name:en,opening_hours,healthcare:speciality,emergency,website,addr:full,addr:country,addr:province,addr:county,addr:city,addr:suburb,addr:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,beds,source,要確認,備考,未解釈の文字列,fixme の内容
3911393100120,39,33.560211,133.496088,原データ,hospital,hospital,もみのき病院,もみのき病院,もみのき病院,もみのきびょういん,Mominoki Byoin,,"Mo,We,Fr 08:30-17:30,18:00-20:00; Tu,Th 08:30-17:30; Sa 08:30-17:00; PH off; Dec 31-Jan 03 off",internal;cardiology;gastroenterology;neurology;palliative;neurosurgery;paediatrics;ophthalmology;psychiatry;physiatry;radiology;anaesthetics,,http://mominoki-hp.or.jp/,高知県高知市塚ノ原６番地１,JP,高知県,,高知市,,,塚ノ原,,,60,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3911393100250,39,33.580585,133.55517,原データ,hospital,hospital,いずみの病院,いずみの病院,いずみの病院,いずみのびょういん,,Izumino Hospital,"Mo,Tu,We,Th 09:00-12:30,13:30-17:00; Fr,Sa 09:00-12:30,13:00-17:00; PH off; Dec 30-Jan 03 off",internal;endocrinology;cardiology;gastroenterology;neurology;surgery;neurosurgery;cardiothoracic_surgery;vascular_surgery;abdominal_surgery;orthopaedics;urology;physiatry;radiology;anaesthetics,,http://www.izumino.or.jp,高知県高知市薊野北町２丁目１０番５３号,JP,高知県,,高知市,,,薊野北町二丁目,10,53,238,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3911393100410,39,33.566145,133.57961,原データ,hospital,hospital,高知高須病院,高知高須病院,高知高須病院,こうちたかすびょういん,Kochi Takasu Byoin,,"Mo,We,Fr 08:30-23:00; Tu,Th 08:30-21:30; Sa 09:00-21:30; PH off; Dec 29-Jan 03 off",internal;endocrinology;cardiology;gastroenterology;nephrology;dialysis;surgery;orthopaedics;urology;anaesthetics,,https://www.takasuhp.or.jp/,高知県高知市大津乙２７０５－１,JP,高知県,,高知市,,,大津乙,,,63,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,2705-1,
3911393100540,39,33.531425,133.58489,原データ,hospital,hospital,高知県・高知市病院企業団立高知医療センター,高知県・高知市病院企業団立高知医療センター,高知医療センター,こうちけんこうちしびょういんきぎょうだんりつこうちいりょうせんたー,,kochi health sciences center,"Mo,Tu,We,Th,Fr 08:30-12:00,13:00-16:30; PH off; Dec 29-Jan 03 off",general,yes,https://www2.khsc.or.jp,高知県高知市池２１２５－１,JP,高知県,,高知市,,,池,,,620,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3911393100670,39,33.564901,133.541093,原データ,hospital,hospital,近森オルソリハビリテーション病院,近森オルソリハビリテーション病院,近森オルソリハビリテーション病院,ちかもりおるそりはびりてーしょんびょういん,,Chikamori Ortho-Rehabilitation Hospital,"Mo,Tu,We,Th,Fr 09:00-12:00,13:00-17:00; PH off; Dec 31-Jan 03 off",internal;orthopaedics;physiatry,,https://www.chikamori.com/ortho/,高知県高知市北本町１ー２ー６,JP,高知県,,高知市,,,北本町一丁目,2,6,100,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3911393100700,39,33.581749,133.550465,原データ,hospital,hospital,きんろう病院,きんろう病院,きんろう病院,きんろうびょういん,,Kinrou Hospital,"Mo,Tu,We,Th,Fr 08:30-17:00; Sa 08:30-12:30; PH off; Dec 30-Jan 03 off",internal;pulmonology;geriatrics;physiatry,,http://www.kinrou-cl.jp,高知県高知市薊野北町３丁目２番２８号,JP,高知県,,高知市,,,薊野北町三丁目,2,28,101,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3911395100140,39,33.510702,133.552801,原データ,hospital,hospital,海辺の杜ホスピタル,海辺の杜ホスピタル,海辺の杜ホスピタル,うみべのもりほすぴたる,,,"Mo,Tu,We,Th,Fr 09:00-12:15,13:15-16:45; Sa 09:00-12:00; PH off; Dec 30-Jan 03 off",psychiatry,,https://www.umibeno-mori.jp,高知県高知市長浜２５１番地,JP,高知県,,高知市,,,長浜,,,359,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,,
3911395100270,39,33.551144,133.511562,原データ,hospital,hospital,高知鏡川病院,高知鏡川病院,高知鏡川病院,こうちかがみがわびょういん,Kochi Kagamigawa Byoin,,"Mo,Tu,We,Th,Fr 09:00-12:30,13:30-17:00; PH off; Dec 29-Jan 03 off",internal;psychiatry,,http://www.kagamigawa-hp.com,高知県高知市城山町２７０番地,JP,高知県,,高知市,,,城山町,,,271,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3911395100300,39,33.566697,133.530172,原データ,hospital,hospital,愛幸病院,愛幸病院,愛幸病院,あいこうびょういん,,Aiko Hospital,"Mo,Tu,We,Th,Fr 09:00-12:00,13:30-17:00; Sa 09:00-12:00; PH off; Dec 29-Jan 03,Apr 29,May 03-May 06,Jul 20,Aug 11,Sep 21-Sep 23,Oct 12,Nov 03,Nov 23 off",internal;psychiatry,,https://shoshikai-aiko.or.jp,高知県高知市入明町１４番２号,JP,高知県,,高知市,,,入明町,14,2,226,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,,
3911395100560,39,33.57003,133.547946,原データ,hospital,hospital,土佐病院,土佐病院,土佐病院,とさびょういん,,Tosa Hospital,"Mo,Tu,We,Th,Fr 09:00-12:00,13:30-17:00; Sa 09:00-12:00; Sa[1,3,5] off; PH off; Dec 29-Jan 03,Dec 24 off",psychiatry,,http://www.tosa-hp.com/,高知県高知市新本町２－１０－２４,JP,高知県,,高知市,,,新本町二丁目,10,24,174,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
