ID,都道府県コード,lat,lon,座標の出典,amenity,healthcare,name,official_name,short_name,name:ja-Hira,name:ja-Latn,name:en,opening_hours,healthcare:speciality,emergency,website,addr:full,addr:country,addr:province,addr:county,addr:city,addr:suburb,addr:quarter,addr:neighbourhood,addr:block_number,addr:housenumber,beds,source,要確認,備考,未解釈の文字列,fixme の内容
3955395001070,39,33.51372,133.573413,原データ,pharmacy,pharmacy,病院通薬局みさと店,病院通薬局みさと店,,びょういんどおりやっきょくみさとてん,Byouindoriyakkyoku Misatoten,,"Mo,Tu,We,Th,Fr 09:00-18:00; Sa 09:00-13:30; PH off; Dec 30-Jan 03 off",,,http://www.kurisu-p.com,高知県高知市仁井田１６１７－１８,JP,高知県,,高知市,,,仁井田,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3955395001080,39,33.548311,133.548238,原データ,pharmacy,pharmacy,アイン薬局 桟橋店,アイン薬局　桟橋店,,あいんやっきょく さんばしてん,Ainyakkyoku Sanbasiten,,"Mo,Tu,We,Th,Fr,Sa 09:00-18:00; PH off; Dec 30-Jan 03 off",,,https://www.ainj.co.jp/,高知県高知市桟橋通２丁目７ー７,JP,高知県,,高知市,,,桟橋通二丁目,7,7,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3955395001240,39,33.510635,133.54361,原データ,pharmacy,pharmacy,サニーひこばえ薬局,サニーひこばえ薬局,,さにー ひこばえ やっきょく,,Sunny Hikobae Drugstore,"Mo,Tu,We,Th,Fr,Sa 09:30-19:00; PH off; Jan 01-Jan 03 off",,,,高知県高知市瀬戸西３丁目１３－１サニーマート瀬戸店内,JP,高知県,,高知市,,,瀬戸西町三丁目,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,サニーマート瀬戸店内,
3955395001310,39,33.561166,133.542763,原データ,pharmacy,pharmacy,正木梅花堂薬局,正木梅花堂薬局,,まさきばいかどうやっきょく,,MasakiBaikadou Drugstore(MasakiBaikadou Yakkyoku),"Mo,Tu,We,Th,Fr 09:00-18:30; Sa 09:00-17:00; PH off; Dec 29-Jan 03 off",,,,高知県高知市はりまや町２丁目１－１,JP,高知県,,高知市,,,はりまや町二丁目,1,1,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3955395001320,39,33.536008,133.486783,原データ,pharmacy,pharmacy,ニュータウンなるおか薬局,ニュータウンなるおか薬局,,にゅーたうんなるおかやっきょく,,,"Mo,Tu,We,Fr,Sa 09:00-19:00; PH off; Dec 29-Jan 04 off",,,,高知県高知市朝倉己８３４－１５,JP,高知県,,高知市,,,朝倉己,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,834-15,
3955395001360,39,33.567794,133.536706,原データ,pharmacy,pharmacy,稲本薬局,稲本薬局,,いなもとやっきょく,,Inamoto Drugstore,"Mo,Tu,We,Th,Fr,Sa 09:00-19:00; PH 09:00-18:00; Jan 01-Jan 03 off",,,,高知県高知市愛宕町２丁目１８－２２,JP,高知県,,高知市,,,愛宕町二丁目,18,22,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3955395001420,39,33.557843,133.544908,原データ,pharmacy,pharmacy,テラオ薬局,テラオ薬局,,てらおやっきょく,Terao Yakkyoku,,"Mo,Tu,We,Th,Fr 09:00-18:00; Sa 09:00-17:00; PH off; Dec 29-Jan 03 off",,,http://www.terao-kochi.co.jp/kanpou/,高知県高知市南はりまや町２－５－１９,JP,高知県,,高知市,,,南はりまや町二丁目,5,19,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3955395001580,39,33.548923,133.545448,原データ,pharmacy,pharmacy,ケンコー薬局,ケンコー薬局,,けんこーやっきょく,Kenkoyakkyoku,,"Mo,Tu,Th 09:00-18:00; We 09:00-13:00; Fr 09:00-17:00; Sa 09:00-16:00; PH off",,,,高知県高知市百石町２－９－１５,JP,高知県,,高知市,,,百石町二丁目,9,15,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,"255文字を超えたため末尾の規則1件を落とした: Dec 27-Jan 03,Apr 04,Apr 24-Apr 25,May 02-May 06,May 16,May 30,Jun 06,Jun 19-Jun",,
3955395001610,39,33.558539,133.572518,原データ,pharmacy,pharmacy,あっぷる・ふぁ~ましぃ,あっぷる・ふぁ～ましぃ,,あっぷる ふぁーましぃ,,APPLE PHARMACY,"Mo,Tu,We,Th,Fr 09:00-18:00; Sa 09:00-17:00; PH off",,,,高知県高知市葛島１丁目１０番７５号（ファミリープラザ内）,JP,高知県,,高知市,,,葛島一丁目,10,75,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,（ファミリープラザ内）,
3955395001710,39,33.572252,133.528783,原データ,pharmacy,pharmacy,白十字薬局 一ツ橋店,白十字薬局　一ツ橋店,,はくじゅうじやっきょく ひとつばしてん,Hakujuuziyakkyoku Hitotsubashiten,,"Mo,Tu,We,Fr 09:00-18:30; Sa 09:00-17:30; PH off",,,,高知県高知市一ツ橋町２丁目１７６番地,JP,高知県,,高知市,,,一ツ橋町二丁目,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,176,
3955395001790,39,33.557607,133.523812,原データ,pharmacy,pharmacy,上町薬局,上町薬局,,かみまちやっきょく,Kamimachi Yakkyoku,,"Mo,Th 08:30-17:30; Tu,We,Fr 08:30-18:00; Sa 08:30-12:30; PH off; Dec 30-Jan 03 off",,,https://kochi-chozai.co.jp/,高知県高知市上町２丁目２－１２,JP,高知県,,高知市,,,上町二丁目,2,12,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,,
3955395001890,39,33.557976,133.525237,原データ,pharmacy,pharmacy,ユーミン薬局,有限会社ユーミン薬局,,,,,"Mo,Tu,We,Th,Fr 09:00-18:00; Sa 09:00-14:00; PH off; Dec 30-Jan 03 off",,,,高知県高知市上町１丁目４番２０号　渡辺ビル,JP,高知県,,高知市,,,上町一丁目,4,20,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),yes,,渡辺ビル,
3955395001920,39,33.553959,133.516688,原データ,pharmacy,pharmacy,スプリング薬局,スプリング薬局,,すぷりんぐやっきょく,Supuringu Yakkyoku,,"Mo,Tu,We,Th,Fr,Sa 08:30-19:00; Sa[4] off; PH off; Dec 31-Jan 04 off",,,,高知県高知市石立町７５－１,JP,高知県,,高知市,,,石立町,,,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
3955395001940,39,33.564227,133.545004,原データ,pharmacy,pharmacy,相生薬局,相生薬局,,あいおいやっきょく,Aioi Yakkyoku,,"Mo,Tu,We,Th,Fr 08:30-17:30; Sa 08:30-12:30; PH off; Dec 30-Jan 03 off",,,https://kochi-chozai.co.jp/,高知県高知市相生町３－３０,JP,高知県,,高知市,,,相生町,3,30,,厚生労働省 医療情報ネットのオープンデータ (2026-06-01),,,,
