施設種別語,種別,備考
病院,施設種別,
医院,施設種別,
診療所,施設種別,
クリニック,施設種別,
クリニツク,施設種別,誤記の実例あり
歯科,施設種別,
薬局,施設種別,
局,施設種別,調剤薬局の略記など
センター,施設種別,
助産院,施設種別,
助産所,施設種別,
相談室,施設種別,
室,施設種別,母乳育児相談室 等
苑,施設種別,
園,施設種別,
荘,施設種別,
ホーム,施設種別,
ハウス,施設種別,
健診所,施設種別,健康診断を行う施設。`広島中央健診所` のように名称の末尾に来る
耳鼻咽喉科,末尾の診療科,診療科名だが名称の末尾に来る。診療科名の一覧は `耳鼻いんこう科` の表記で一致しない
