語,除く位置,備考
国民健康保険,全体,市町村が保険者として立てた診療所。保険者の名で、施設名ではない
市立,先頭,
県立,先頭,
町立,先頭,
村立,先頭,
都立,先頭,
府立,先頭,
道立,先頭,
企業団立,先頭,高知県・高知市病院企業団立 等
組合立,先頭,一部事務組合が立てたもの
