接尾辞,備考
会,「〇〇会」は法人名。ただし単独で施設名になりうるため法人格の直後のトークンに限って適用する
医会,
厚生連,ＪＡ北海道厚生連 等
連合会,
組合,広域事務組合・生活協同組合など
協同組合,
生活協同組合,
勤医協,道東勤医協 等
機構,国立病院機構・都立病院機構 等
事業団,
公社,
財団,
社団,
