種別,パターン,備考
診療形態,往診専門,name から除き 備考 に記録する
診療形態,日曜・祝日のみ,name から除き 備考 に記録する
診療形態,出張のみ,name から除き 備考 に記録する
診療形態,出張専門,name から除き 備考 に記録する
診療形態,出張,name から除き 備考 に記録する
診療形態,出張型,name から除き 備考 に記録する
診療形態,出張専門ケア,name から除き 備考 に記録する
診療形態,訪問型,name から除き 備考 に記録する
診療形態,出張専門開業助産師,name から除き 備考 に記録する
字体説明,「崎」は正式には、偏:山、旁:竒,name から除き 備考 に記録する
字体説明,崎の字は山へんに立・可,name から除き 備考 に記録する
字体説明,さきは立つさき,name から除き 備考 に記録する
