都道府県コード,都道府県,lat_min,lat_max,lon_min,lon_max
01,北海道,41.358899,45.512988,139.360479,146.325012
02,青森県,40.263458,41.527021,139.869242,141.590239
03,岩手県,38.911005,40.351312,140.836036,142.014260
04,宮城県,37.862365,38.988623,140.286229,141.670214
05,秋田県,38.951731,40.410589,139.704017,140.889827
06,山形県,37.792515,38.994337,139.571829,140.612044
07,福島県,36.807696,37.908375,139.276924,141.036018
08,茨城県,35.746831,36.907795,139.692646,140.839840
09,栃木県,36.208745,37.126290,139.377265,140.273568
10,群馬県,36.049438,36.913988,138.438270,139.655551
11,埼玉県,35.755447,36.280547,138.784708,139.893870
12,千葉県,34.908805,36.098726,139.759420,140.864445
13,東京都,20.425604,35.858004,136.081143,153.980589
14,神奈川県,35.133397,35.651835,139.004544,139.776179
15,新潟県,36.804073,38.552385,137.652757,139.723198
16,富山県,36.323698,36.966294,136.791673,137.690236
17,石川県,36.131836,37.849929,136.250065,137.352431
18,福井県,35.361986,36.289835,135.454704,136.809434
19,山梨県,35.204254,35.923232,138.223312,139.116619
20,長野県,35.208541,37.004202,137.451094,138.698829
21,岐阜県,35.144058,36.455699,136.348134,137.602285
22,静岡県,34.604420,35.453747,137.484097,139.171544
23,愛知県,34.590350,35.408066,136.674629,137.807744
24,三重県,33.732504,35.228011,135.859390,136.981915
25,滋賀県,34.817133,35.669414,135.781133,136.440044
26,京都府,34.711172,35.762942,134.865345,135.964214
27,大阪府,34.291080,35.035614,135.105570,135.739502
28,兵庫県,34.167974,35.661827,134.266777,135.458724
29,奈良県,33.878208,34.753837,135.568653,136.205976
30,和歌山県,33.447029,34.372631,135.068349,136.006452
31,鳥取県,35.082636,35.604046,133.170987,134.489250
32,島根県,34.327478,36.328764,131.687100,133.370164
33,岡山県,34.304053,35.312861,133.305621,134.395230
34,広島県,34.117711,35.076961,132.089202,133.453995
35,山口県,33.738672,34.778282,130.786664,132.428820
36,徳島県,33.563788,34.244503,133.687567,134.742006
37,香川県,34.031980,34.555188,133.535408,134.431937
38,愛媛県,32.913394,34.300715,132.037258,133.664035
39,高知県,32.718812,33.840613,132.489499,134.298708
40,福岡県,33.004368,33.992902,130.035919,131.180899
41,佐賀県,32.954889,33.603027,129.757008,130.538449
42,長崎県,32.560863,34.695725,128.595755,130.377578
43,熊本県,32.114313,33.167186,129.992915,131.289426
44,大分県,32.750012,33.737758,130.862578,132.073707
45,宮崎県,31.402760,32.812752,130.728906,131.849342
46,鹿児島県,27.024531,32.279931,128.414450,131.185599
47,沖縄県,24.058586,27.873001,122.987678,131.314292
