業態,診療科目コード,診療科目名(最頻),施設数,名称の種類数,healthcare:speciality,対応の確度,出典,備考
,01001,内科,6698,1,internal,exact,wiki,
,01002,感染症内科,223,1,infectious_diseases,exact,wiki,
,01003,性感染症内科,3,1,venereology,exact,wiki,
,01004,血液・腫瘍内科,84,1,haematology;oncology,exact,wiki,
,01005,血液内科,733,1,haematology,exact,wiki,
,01006,糖尿病内科,974,1,endocrinology,exact,wiki,wikiの定義が「Endocrinology and Diabetes Mellitus」で糖尿病を含む
,01007,代謝内科,94,1,endocrinology,broader,wiki,
,01008,内分泌内科,240,1,endocrinology,exact,wiki,
,01009,脂質代謝内科,19,1,endocrinology,broader,wiki,
,01010,糖尿病・内分泌内科,506,1,endocrinology,exact,wiki,
,01011,糖尿病・代謝内科,237,1,endocrinology,exact,wiki,
,01012,代謝・内分泌内科,146,1,endocrinology,exact,wiki,
,01013,脳神経内科,1240,1,neurology,exact,wiki,
,01014,呼吸器内科,2682,1,pulmonology,exact,wiki,
,01015,老年・呼吸器内科,5,1,geriatrics;pulmonology,exact,wiki,
,01016,気管食道内科,9,1,otolaryngology,broader,wiki,気管食道科はOSMに対応値が無く耳鼻科に丸めた
,01017,循環器内科,3875,1,cardiology,exact,wiki,
,01018,心臓内科,29,1,cardiology,exact,wiki,
,01019,心臓血管内科,26,1,cardiology,exact,wiki,
,01020,消化器内科,3501,1,gastroenterology,exact,wiki,
,01021,胃腸内科,434,1,gastroenterology,exact,wiki,
,01022,腎臓内科,1319,1,nephrology,exact,wiki,
,01023,人工透析内科,539,1,dialysis,exact,taginfo,wiki未文書化だが483件の実用あり。nephrologyに丸める案もある
,01024,肝臓内科,214,1,hepatology,exact,wiki,
,01025,神経内科,1429,1,neurology,exact,wiki,
,01026,腫瘍内科,286,1,oncology,exact,wiki,
,01027,漢方内科,122,1,traditional_chinese_medicine,broader,wiki,漢方は中医学と同一ではない。要検討
,01028,老年内科,167,1,geriatrics,exact,wiki,
,01029,女性内科,14,1,internal,broader,wiki,女性内科に対応する値が無い
