業態,診療科目コード,診療科目名(最頻),施設数,名称の種類数,healthcare:speciality,対応の確度,出典,備考
,01030,内視鏡内科,198,1,gastroenterology,broader,wiki,内視鏡は消化器が主だが他領域も含む
,01031,疼痛緩和内科,41,1,palliative,broader,wiki,
,01032,ペインクリニック内科,134,1,anaesthetics,broader,wiki,日本のペインクリニックは麻酔科が担当することが多い
,01033,アレルギー疾患内科,27,1,allergology,exact,wiki,
,01034,緩和ケア内科,453,1,palliative,exact,wiki,
,01991,インフルエンザ,347,149,internal,broader,wiki,「その他（内科系）」の総括コード。149種の自由記述を含む
,02001,外科,3961,1,surgery,exact,wiki,
,02002,脳神経外科,2558,1,neurosurgery,exact,wiki,
,02003,脳外科,26,1,neurosurgery,exact,wiki,
,02004,脳・血管外科,15,1,neurosurgery,broader,wiki,
,02005,呼吸器外科,993,1,cardiothoracic_surgery,broader,wiki,呼吸器外科単独に対応する値が無い
,02006,食道外科,25,1,surgery,broader,wiki,食道外科に対応する値が無い
,02007,気管食道外科,29,1,otolaryngology,broader,wiki,
,02008,血管外科,274,1,vascular_surgery,exact,wiki,
,02009,循環器外科,41,1,cardiothoracic_surgery,broader,wiki,
,02010,心臓外科,29,1,cardiothoracic_surgery,exact,wiki,
,02011,心臓血管外科,1032,1,cardiothoracic_surgery,exact,wiki,
,02012,消化器外科,1659,1,abdominal_surgery,broader,wiki,
,02014,消化器・移植外科,6,1,abdominal_surgery;transplant,broader,wiki,
,02015,胃腸外科,71,1,abdominal_surgery,broader,wiki,
,02016,大腸外科,40,1,proctology,broader,wiki,
,02017,腎臓外科,18,1,urology,broader,wiki,
,02018,肝臓外科,35,1,abdominal_surgery,broader,wiki,
,02019,膵臓外科,15,1,abdominal_surgery,broader,wiki,
,02020,胆のう外科,20,1,abdominal_surgery,broader,wiki,
,02021,肝臓・胆のう・膵臓外科,63,1,abdominal_surgery,broader,wiki,
,02022,乳腺外科,973,1,surgery,broader,wiki,乳腺外科に対応する値が無い。影響施設が多く要検討
,02023,乳腺・内分泌外科,123,1,surgery,broader,wiki,乳腺外科に対応する値が無い
,02024,女性乳腺外科,10,1,surgery,broader,wiki,乳腺外科に対応する値が無い
,02025,肛門外科,887,1,proctology,exact,wiki,
,02026,大腸・肛門外科,100,1,proctology,exact,wiki,
,02027,ペインクリニック外科,85,1,anaesthetics,broader,wiki,
,02028,腫瘍外科,43,1,oncology,broader,wiki,
,02029,頭頸部外科,108,1,otolaryngology,broader,wiki,
,02030,胸部外科,38,1,cardiothoracic_surgery,broader,wiki,
,02031,腹部外科,18,1,abdominal_surgery,exact,wiki,
,02032,内視鏡外科,139,1,surgery,broader,wiki,
,02033,移植外科,36,1,transplant,exact,wiki,
,02035,整形外科,4630,1,orthopaedics,exact,wiki,
,02036,形成外科,1420,1,plastic_surgery,exact,wiki,
,02037,美容外科,119,1,plastic_surgery,broader,wiki,美容外科。wikiのplastic_surgeryは再建・美容の双方を含む
,02038,緩和ケア外科,44,1,palliative,broader,wiki,
,02991,その他（外科系）,131,80,surgery,broader,wiki,「その他（外科系）」の総括コード。80種の自由記述を含む
,03001,小児科,2260,1,paediatrics,exact,wiki,
,03002,小児眼科,7,1,paediatrics;ophthalmology,broader,wiki,
,03003,小児耳鼻いんこう科,7,1,paediatrics;otolaryngology,broader,wiki,
,03004,小児皮膚科,10,1,paediatrics;dermatology,broader,wiki,
,03005,児童精神科,112,1,child_psychiatry,exact,wiki,
,03006,小児外科,395,1,paediatric_surgery,exact,wiki,
,03007,小児泌尿器科,20,1,paediatrics;urology,broader,wiki,
,03008,新生児内科,58,1,neonatology,exact,wiki,
,03009,小児腫瘍外科,1,1,paediatric_surgery;oncology,broader,wiki,
,03991,小児神経科,95,47,paediatrics,broader,wiki,「その他（小児科系）」の総括コード。47種の自由記述を含む
,04001,産婦人科,1006,1,gynaecology,exact,wiki,wikiの定義が「Obstetrics and gynaecology」で産科を含む
,04002,産科,195,1,gynaecology,exact,wiki,
,04003,婦人科,841,1,gynaecology,exact,wiki,
,04004,産婦人科（生殖医療）,21,1,gynaecology;fertility,exact,wiki,
,04991,女性診療科,11,10,gynaecology,broader,wiki,「その他（産婦人科系）」の総括コード
,05001,眼科,2183,1,ophthalmology,exact,wiki,
,05002,耳鼻いんこう科,1730,1,otolaryngology,exact,wiki,
,05003,気管食道・耳鼻いんこう科,8,1,otolaryngology,exact,wiki,
,05004,頭頸部・耳鼻いんこう科,79,1,otolaryngology,exact,wiki,
,05991,神経眼科,2,1,ophthalmology,broader,wiki,
,05992,耳鼻咽喉科・頭頸部外科,12,8,otolaryngology,exact,wiki,
,06001,皮膚科,2892,1,dermatology,exact,wiki,
,06002,美容皮膚科,57,1,dermatology,broader,wiki,
,06003,皮膚泌尿器科,20,1,dermatology;urology,exact,wiki,
,06004,泌尿器科,2731,1,urology,exact,wiki,
,06005,男性泌尿器科,6,1,urology,broader,wiki,
,06006,神経泌尿器科,1,1,urology,broader,wiki,
,06007,腎臓・泌尿器科,13,1,nephrology;urology,exact,wiki,
,06991,皮膚腫瘍科,4,4,dermatology,broader,wiki,
,06992,女性泌尿器科,22,9,urology,broader,wiki,
,07001,精神科,2606,1,psychiatry,exact,wiki,
,07002,神経科,356,1,psychiatry,broader,wiki,コード体系上07は精神科系。神経内科ではない
,07003,心療内科,1097,1,psychiatry,broader,wiki,心療内科（心身医学）に対応する値が無い。影響施設が多く要検討
,07004,老年精神科,107,1,psychiatry;geriatrics,exact,wiki,
,07005,老年心療内科,6,1,psychiatry;geriatrics,broader,wiki,
,07991,神経精神科,67,29,neuropsychiatry,broader,wiki,「その他（精神科系）」の総括コード
,08001,歯科,1106,1,dentistry,exact,taginfo,wiki未文書化だが1518件の実用あり
,08002,矯正歯科,122,1,orthodontics,exact,wiki,
,08003,歯科口腔外科,1014,1,dental_oral_maxillo_facial_surgery,exact,wiki,
,08004,小児歯科,133,1,paediatric_dentistry,exact,wiki,
,08005,小児矯正歯科,1,1,orthodontics;paediatric_dentistry,exact,wiki,
,08991,口腔腫瘍外科,8,7,dental_oral_maxillo_facial_surgery,broader,wiki,「その他（歯科系）」の総括コード
,09001,アレルギー科,360,1,allergology,exact,wiki,
,09002,リウマチ科,1302,1,rheumatology,exact,wiki,
,09003,リハビリテーション科,5346,1,physiatry,exact,wiki,wikiの定義が「Physical medicine and rehabilitation」
,09004,放射線科,2790,1,radiology,exact,wiki,
,09005,放射線診断科,334,1,diagnostic_radiology,exact,wiki,
,09006,放射線治療科,314,1,radiotherapy,exact,wiki,
,09007,腫瘍放射線科,12,1,radiotherapy,exact,wiki,
,09008,病理診断科,920,1,pathology,exact,wiki,
,09009,臨床検査科,284,1,clinical_pathology,exact,wiki,
,09010,救急科,899,1,emergency,exact,wiki,
,09011,麻酔科,2577,1,anaesthetics,exact,wiki,
,09991,総合診療科,186,151,general,broader,wiki,「その他」の総括コード。151種の自由記述を含む
,02034,移植・内視鏡外科,2,1,surgery;transplant,broader,wiki,診療所のみに出現
dental,08991,インプラント,1500,,dentistry,broader,taginfo,歯科診療所ではインプラント522/審美歯科372/訪問歯科219が主で口腔外科ではない
dental,09991,インプラント,88,,dentistry,broader,taginfo,歯科診療所では歯科系の自由記述が主
