種別,パターン,備考
法人格,特定医療法人社団,
法人格,社会医療法人社団,
法人格,社会医療法人財団,
法人格,特定医療法人財団,
法人格,医療法人社団,
法人格,医療法人財団,
法人格,社団医療法人,語順が入れ替わった表記
法人格,財団医療法人,語順が入れ替わった表記
法人格,医療社団法人,語順が入れ替わった表記
法人格,特定医療法人,
法人格,社会医療法人,
法人格,医療法人,
法人格,醫療法人,旧字体
法人格,一般社団法人,
法人格,一般財団法人,
法人格,公益社団法人,
法人格,公益財団法人,
法人格,社会福祉法人,
法人格,特定非営利活動法人,
法人格,独立行政法人,
法人格,地方独立行政法人,
法人格,国立研究開発法人,
法人格,国立大学法人,
法人格,公立大学法人,
法人格,学校法人,
法人格,宗教法人,
法人格,社団法人,
法人格,財団法人,
法人格,株式会社,
法人格,有限会社,
法人格,合同会社,
法人格,合資会社,
法人格,合名会社,
残余,社団,法人格を除いた後に残る「社団」「財団」を続けて落とす
残余,財団,同上
運営主体,国家公務員共済組合連合会,
運営主体,地方公務員共済組合,
運営主体,日本赤十字社,
運営主体,厚生農業協同組合連合会,
運営主体,全国厚生農業協同組合連合会,
括弧略記,有,(有) 有限会社
括弧略記,医,(医) 医療法人
括弧略記,株,(株) 株式会社
括弧略記,医社,(医社) 医療法人社団
括弧略記,医法,(医法) 医療法人
括弧略記,公財,(公財) 公益財団法人
括弧略記,財,(財) 財団法人
括弧略記,一財,(一財) 一般財団法人
括弧略記,一社,(一社) 一般社団法人
括弧略記,社,(社) 社団法人
括弧略記,社団,(社団) 医療法人社団
括弧略記,福,(福) 社会福祉法人
括弧略記,公,(公) 公益法人
括弧略記,資,(資) 合資会社
括弧略記,合資,(合資) 合資会社
括弧略記,独行,(独行) 独立行政法人
